Rank,Title,Author,Score,Votes,Rating
55,"Cordelia's Honor (Vorkosigan Omnibus, #1)",Lois McMaster Bujold,"score: 2,498",31 people voted," 4.37 avg rating — 11,641 ratings"
56,The Pride of Chanur (Chanur #1),C.J. Cherryh,"score: 2,469",31 people voted," 3.92 avg rating — 5,913 ratings"
57,Station Eleven,Emily St. John Mandel,"score: 2,450",28 people voted," 4.03 avg rating — 253,872 ratings"
58,"Cyteen (Cyteen, #1-3)",C.J. Cherryh,"score: 2,316",30 people voted,"really liked it 4.00 avg rating — 9,285 ratings"
59,Borders of Infinity (Vorkosigan Saga [Publication] #5.1-5.3),Lois McMaster Bujold,"score: 2,306",29 people voted," 4.24 avg rating — 8,713 ratings"
60,"Grass (Arbai, #1)",Sheri S. Tepper,"score: 2,203",27 people voted," 4.04 avg rating — 9,267 ratings"
61,"Chameleon (The Domino Project, #1)",K.T. Hanna,"score: 2,199",22 people voted, 4.18 avg rating — 191 ratings
62,The Gate to Women's Country,Sheri S. Tepper,"score: 2,191",27 people voted," 4.05 avg rating — 11,542 ratings"
63,The Female Man,Joanna Russ,"score: 2,128",26 people voted," 3.54 avg rating — 5,351 ratings"
64,"In the Garden of Iden (The Company, #1)",Kage Baker,"score: 2,038",26 people voted," 3.77 avg rating — 4,995 ratings"
65,"Rogue Genesis (Shimmer in the Dark, #1)",Ceri London,"score: 2,013",21 people voted, 4.44 avg rating — 133 ratings
66,"Parable of the Talents (Earthseed, #2)",Octavia E. Butler,"score: 2,006",25 people voted," 4.24 avg rating — 17,408 ratings"
67,The Faded Sun Trilogy (The Faded Sun #1-3),C.J. Cherryh,"score: 1,931",23 people voted," 4.12 avg rating — 4,628 ratings"
68,"Diplomatic Immunity (Vorkosigan Saga, #13)",Lois McMaster Bujold,"score: 1,914",26 people voted," 4.18 avg rating — 12,109 ratings"
69,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,"score: 1,849",22 people voted," 4.06 avg rating — 67,100 ratings"
70,The Speed of Dark,Elizabeth Moon,"score: 1,819",24 people voted,"really liked it 4.00 avg rating — 9,438 ratings"
71,Darkover Landfall,Marion Zimmer Bradley,"score: 1,748",21 people voted," 3.88 avg rating — 5,952 ratings"
72,"Machinations (Machinations, #1)",Hayley Stone,"score: 1,698",17 people voted, 3.79 avg rating — 248 ratings
73,"Vertigo (Aurora Rhapsody, #2)",G.S. Jennsen,"score: 1,684",18 people voted," 4.22 avg rating — 1,042 ratings"
74,"CryoBurn (Vorkosigan Saga, #14)",Lois McMaster Bujold,"score: 1,683",24 people voted," 4.06 avg rating — 11,943 ratings"
75,"Seed to Harvest (Patternmaster, #1-4)",Octavia E. Butler,"score: 1,659",20 people voted," 4.33 avg rating — 3,946 ratings"
76,The Wind's Twelve Quarters,Ursula K. Le Guin,"score: 1,572",19 people voted," 4.04 avg rating — 4,042 ratings"
77,Remnant Population,Elizabeth Moon,"score: 1,547",20 people voted," 4.06 avg rating — 3,628 ratings"
78,The Word for World is Forest,Ursula K. Le Guin,"score: 1,510",20 people voted," 3.95 avg rating — 12,909 ratings"
79,"Grimspace (Sirantha Jax, #1)",Ann Aguirre,"score: 1,497",17 people voted," 3.73 avg rating — 12,663 ratings"
80,Ammonite,Nicola Griffith,"score: 1,477",20 people voted," 3.86 avg rating — 3,716 ratings"
81,"Across the Universe (Across the Universe, #1)",Beth Revis,"score: 1,435",16 people voted," 3.77 avg rating — 107,423 ratings"
82,"Inheritor (Foreigner, #3)",C.J. Cherryh,"score: 1,392",18 people voted," 4.19 avg rating — 3,610 ratings"
83,The V Girl,Mya Robarts,"score: 1,380",15 people voted," 4.02 avg rating — 7,843 ratings"
84,"Delirium (Delirium, #1)",Lauren Oliver,"score: 1,366",15 people voted," 3.98 avg rating — 392,313 ratings"
85,Dreamsnake,Vonda N. McIntyre,"score: 1,324",18 people voted," 3.86 avg rating — 8,407 ratings"
86,Women of Wonder: Science-Fiction Stories by Women about Women,Pamela Sargent,"score: 1,297",16 people voted,really liked it 4.00 avg rating — 272 ratings
87,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"score: 1,296",14 people voted," 4.15 avg rating — 35,121 ratings"
88,"Trading in Danger (Vatta's War, #1)",Elizabeth Moon,"score: 1,286",16 people voted," 3.98 avg rating — 11,164 ratings"
89,"Invader (Foreigner, #2)",C.J. Cherryh,"score: 1,276",17 people voted," 4.17 avg rating — 4,058 ratings"
89,Woman on the Edge of Time,Marge Piercy,"score: 1,276",15 people voted," 3.95 avg rating — 12,600 ratings"
91,China Mountain Zhang,Maureen F. McHugh,"score: 1,253",18 people voted," 3.94 avg rating — 3,453 ratings"
92,"Stardoc (Stardoc, #1)",S.L. Viehl,"score: 1,230",16 people voted," 3.80 avg rating — 3,632 ratings"
93,"MaddAddam (MaddAddam, #3)",Margaret Atwood,"score: 1,212",13 people voted,"really liked it 4.00 avg rating — 52,206 ratings"
94,"Valor's Choice (Confederation, #1)",Tanya Huff,"score: 1,165",16 people voted," 3.98 avg rating — 6,900 ratings"
95,Bellwether,Connie Willis,"score: 1,142",13 people voted," 3.93 avg rating — 10,069 ratings"
96,This Alien Shore,C.S. Friedman,"score: 1,130",15 people voted," 4.04 avg rating — 3,262 ratings"
97,"Primary Inversion (Saga of the Skolian Empire, #1)",Catherine Asaro,"score: 1,119",15 people voted," 3.74 avg rating — 3,686 ratings"
98,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,"score: 1,115",12 people voted," 4.29 avg rating — 265,354 ratings"
99,"Probability Moon (Probability, #1)",Nancy Kress,"score: 1,107",15 people voted," 3.61 avg rating — 1,292 ratings"
100,"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer,"score: 1,083",12 people voted," 4.10 avg rating — 72,379 ratings"
