Tag,Title,Summary,Rating,Would Make Again,Link
recipe,Thai-Style Squid and Cucumber Salad,"Tossed with crunchy cucumbers, peanuts, and fresh red chiles, this salad makes a refreshing summer dinner spooned over rice or all on its own.",2.5,50%,/recipes/food/views/thai-style-squid-and-cucumber-salad
recipe,Spicy Grilled Chicken with Crunchy Fennel Salad,"This chicken packs some heat, which is why we paired it with a superclean and cooling crisp fennel salad. If fennel is not your thing, any shaved crunchy veg will do. Try radishes, carrots, or cucumbers instead.",4,100%,/recipes/food/views/spicy-grilled-chicken-with-crunchy-fennel-salad
recipe,Lemon Salmon with Creamy Cucumber Salad,"Marinate salmon in lemon zest and fresh dill, then grill and serve with crunchy chopped cucumbers draped in a coleslaw-like dressing.",2.5,60%,/recipes/food/views/grilled-salmon-with-meyer-lemons-and-creamy-cucumber-salad
recipe,Smashed Cucumber Salad with Hot Vinegar,"Cucumbers are practically all water, so you gotta dress them like you mean it. This hot, sweet, and tart dressing will have them covered.",0,0%,/recipes/food/views/smashed-cucumber-salad-with-hot-vinegar
recipe,Sam's Spring Fattoush Salad,Part of what makes this salad so great is the dynamic textures; the cracker-like baked lavash croutons and the crunchy cucumbers and radishes contrast with the creamy feta and soft herbs.,4,100%,/recipes/food/views/sams-spring-cucumber-radish-fattoush-salad
recipe,Skirt Steak with Spicy Coconut Dressing,This recipe is exceptionally weeknight-friendly (it goes from start to finish in less than an hour) and fully adaptable depending on the tastes of your family.,4,100%,/recipes/food/views/skirt-steak-with-spicy-coconut-dressing
recipe,Mango Toast with Hazelnut-Pepita Butter,"Savory fruit toast is the new avocado toast. Other combinations we’re crushing on: lemony yogurt with cucumbers, almond butter and pears.",0,0%,/recipes/food/views/mango-toast-with-hazelnut-pepita-butter
recipe,Quick-Pickled Charred Vegetables,This technique is nothing short of amazing—even if you're finicky about your pickles.,4,100%,/recipes/food/views/quick-pickled-charred-grilled-vegetables
recipe,Green Beans and Cucumbers with Miso Dressing,"Crushing and smashing green beans and cucumbers sounds crazy, but it creates nooks and crannies to soak up as much umami-rich miso sauce as possible. And this is a dressing you'll want a lot of.",3.5,88%,/recipes/food/views/green-beans-and-cucumbers-with-miso-dressing
recipe,Crispy Fish Fillets with Cucumber Ceviche,"Serve panko-crusted white fish with a piquant relish of cucumbers, fennel, and chiles, kissed with both lime and cilantro.",4,100%,/recipes/food/views/fish-milanese-with-cucumber-ceviche
recipe,Thai-Style Pineapple-Coconut Rice,"Keep the accompaniments simple by serving with a platter of sliced baked tofu, cucumbers, tomatoes, and baby carrots.",3,100%,/recipes/food/views/thai-style-pineapple-coconut-rice
recipe,Peanut Noodles with Chicken and Snap Peas,"Featuring an easy make-ahead peanut sauce, these chicken noodle bowls come together in no time at all.",3.5,100%,/recipes/food/views/rice-noodles-with-peanut-sauce-chicken-and-snap-peas
recipe,Thai Beef Salad,"We eat this salad—which is a great way to stretch a piece of beef—all year long for lunch and dinner, but it's particularly good during the warmer months. The thinly sliced meat, the crunch of the cucumbers and red onions, and the heady aroma of mint and cilantro tossed with the chile-spiked salty-sweet dressing seem made for hot days and nights.",4,100%,/recipes/food/views/thai-beef-salad
recipe,Smashed Cucumbers and Radishes in Yogurt Sauce,"Wheels of cucumbers and radishes are nice and all, but smashing them into ragged pieces is way more fun.",0,0%,/recipes/food/views/smashed-cucumbers-and-radishes-in-yogurt-sauce
recipe,Chicken Kofta Meatballs,Make a big batch of these spicy herbed meatballs and stash them in your freezer and you’ll always have the building blocks for an easy weeknight dinner on hand.,3.5,88%,/recipes/food/views/herby-chicken-kofta-meatballs
recipe,Teriyaki Steak Skewers with Asian-Style Greens,"These steak kebabs are marinated in soy-ginger sauce, and served over a salad of bok choy, kale, and cucumbers.",1,0%,/recipes/food/views/teriyaki-steak-skewers-with-asian-style-greens
recipe,"Yogurt with Raisins, Cucumber, and Walnuts","Mast, which translates to yogurt in Farsi, is a staple side dish on most Persian tables. The yogurt can be mixed with shallots, grated cooked beets, cooked spinach, or, most commonly, with Persian cucumbers, mint, and dried rose.",0,0%,/recipes/food/views/yogurt-with-raisins-cucumber-and-walnuts
recipe,Favorite Dill Pickles,"Often called kosher-style dill pickles, these are quick to make. Use either small whole cucumbers or cut larger ones into quarters. For an additional interesting flavor, tuck a small dried hot red pepper into each jar.",3.5,71%,/recipes/food/views/fast-favorite-garlic-dill-pickles-230707
recipe,Kale and Cucumber Salad with Ginger Dressing,"A Vietnamese-inspired ginger dressing and plenty of cooling, crunchy cucumbers takes kale salad from ""not now"" to ""hey, wow!""",3,73%,/recipes/food/views/kale-and-cucumber-salad-with-roasted-ginger-dressing
recipe,"Chilled Beet Soup with Buttermilk, Cucumbers, and Dill (Chlodnik)",This classic Polish soup is the ultimate in summer refreshment.,3.5,87%,/recipes/food/views/chilled-beet-soup-with-buttermilk-cucumbers-and-dill-chlodnik
recipe,"Flatbread with Fava Beans, Cucumbers, and Burrata",Fava beans most likely require a trip to a farmers’ market and take a while to peel. Sugar snap peas cut into bite-size pieces are a fine alternative.,4,100%,/recipes/food/views/flatbread-with-fava-beans-cucumbers-and-burrata
recipe,Moroccan Skirt Steak Salad With Chermoula,"A fragrant, herbaceous sauce acts as both a marinade and a dressing for this pretty, Moroccan-inspired salad.",3,75%,/recipes/food/views/moroccan-skirt-steak-salad-with-chermoula
recipe,Cucumber and Raisin Relish With Mustard Seeds,"Golden raisins add a bright sweetness to this fresh take on sweet-and-sour pickles. Serve it with our Cider-Brined, Maple-Glazed Pork Loin, spread it onto sandwiches, or use it to top hot dogs.",4,100%,/recipes/food/views/cucumber-and-raisin-relish-with-mustard-seeds
recipe,Fresh Dill Cucumbers with Lemon,Fresh Dill Cucumbers with Lemon,0,0%,/recipes/food/views/fresh-dill-cucumbers-with-lemon
recipe,Crispy Pork Lettuce Wraps,"Sweet and spicy pork belly lettuce wraps—served with a refreshing cucumber salad—are a cool, crunchy dinner for sweltering August nights.",4,100%,/recipes/food/views/crispy-pork-lettuce-wraps-with-spicy-cucumbers-56390119
recipe,Miso-Cured Black Cod with Chilled Cucumbers,Pro tip: Viva brand paper towels are used at Rintaro specifically for insulating the cod from its salty cure and will absorb moisture without falling apart.,1,0%,/recipes/food/views/miso-cured-black-cod-with-chilled-cucumbers-56389995
recipe,Cold Asian Noodle Salad,"This sweet and spicy pasta salad features chicken—use leftovers or grab a rotisserie chicken at the store. Make it for dinner tonight, or pack it up for lunches—it’ll be just as good tomorrow.",3,60%,/recipes/food/views/cold-asian-noodle-salad-with-chicken-and-cucumbers-56389799
recipe,Cucumbers with Scallions and Chili Oil,Why waste time with a knife? A simple whack to a cucumber yields jagged surfaces eager to soak up this tangy dressing.,0,0%,/recipes/food/views/cucumbers-with-scallions-and-chili-oil-56389645
recipe,Strawberry-Cucumber Salad with Lemon Cream,Strawberries and cream...and cardamom. The cooling spice and cucumbers give berries an element of intrigue.,4,100%,/recipes/food/views/strawberry-cucumber-salad-with-lemon-cream-56389861
recipe,Ginger-Dill Pickles,"These herbaceous pickles combine spicy ginger with bright dill. Although cucumbers are classic, cherry tomatoes or green beans would also work well in this brine.",0,0%,/recipes/food/views/ginger-dill-pickles-56389773
recipe,Sweet and Sour Pickles,"These spiced-packed pickles are the perfect combination of tart and sweet, great for pre-dinner snacking or to top a sandwich. Yellow squash is delicious, but the brine also works well with cucumbers, zucchini, onions, or mushrooms.",2,100%,/recipes/food/views/sweet-and-sour-pickles-56389775
recipe,Charred Romaine Greek Salad With Quinoa-Crusted Feta,"I live in New York, where Greek salads are a reliable diner staple. I love the combination of briny Kalamata olives and salty feta cheese mixed with crisp romaine lettuce and refreshing cucumbers. This somewhat deconstructed, twenty-first century version applies the ""warm goat cheese salad"" method to a Greek salad, coating fresh feta slices in egg wash and quinoa and then pan-frying. The result is incredibly delicious—and as good as it looks in the picture!",4,100%,/recipes/food/views/charred-romaine-greek-salad-with-quinoa-crusted-feta-56389585
